Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
step 0: train loss 10.8320, val loss 10.8321
iter 0: loss 10.8706, time 25673.09ms, mfu -100.00%
iter 1: loss 10.8651, time 1688.80ms, mfu -100.00%
iter 2: loss 10.8725, time 2069.61ms, mfu -100.00%
iter 3: loss 10.8627, time 2071.76ms, mfu -100.00%
iter 4: loss 10.8681, time 2072.14ms, mfu -100.00%
iter 5: loss 10.8725, time 2079.21ms, mfu -100.00%
iter 6: loss 10.8656, time 2077.55ms, mfu -100.00%
iter 7: loss 10.8662, time 2075.20ms, mfu -100.00%
iter 8: loss 10.8574, time 2070.19ms, mfu -100.00%
iter 9: loss 10.8600, time 2071.88ms, mfu -100.00%
iter 10: loss 10.8364, time 2069.03ms, mfu -100.00%
iter 11: loss 10.8672, time 2076.40ms, mfu -100.00%
iter 12: loss 10.8576, time 2071.89ms, mfu -100.00%
iter 13: loss 10.8613, time 2072.92ms, mfu -100.00%
iter 14: loss 10.8514, time 2070.84ms, mfu -100.00%
iter 15: loss 10.8506, time 2070.35ms, mfu -100.00%
iter 16: loss 10.8556, time 2079.34ms, mfu -100.00%
iter 17: loss 10.8399, time 2077.44ms, mfu -100.00%
iter 18: loss 10.8209, time 2068.03ms, mfu -100.00%
iter 19: loss 10.8438, time 2076.90ms, mfu -100.00%
iter 20: loss 10.8320, time 2066.31ms, mfu -100.00%
iter 21: loss 10.8466, time 2072.93ms, mfu -100.00%
iter 22: loss 10.8184, time 2077.45ms, mfu -100.00%
iter 23: loss 10.8320, time 2072.23ms, mfu -100.00%
iter 24: loss 10.8222, time 2072.72ms, mfu -100.00%
iter 25: loss 10.8121, time 2072.82ms, mfu -100.00%
iter 26: loss 10.8164, time 2070.08ms, mfu -100.00%
iter 27: loss 10.8102, time 2078.20ms, mfu -100.00%
iter 28: loss 10.8087, time 2073.32ms, mfu -100.00%
iter 29: loss 10.8082, time 2073.82ms, mfu -100.00%
iter 30: loss 10.7906, time 2071.14ms, mfu -100.00%
iter 31: loss 10.7989, time 2074.84ms, mfu -100.00%
iter 32: loss 10.7889, time 2071.27ms, mfu -100.00%
iter 33: loss 10.7840, time 2074.30ms, mfu -100.00%
iter 34: loss 10.7805, time 2071.55ms, mfu -100.00%
iter 35: loss 10.7737, time 2073.36ms, mfu -100.00%
iter 36: loss 10.7620, time 2073.45ms, mfu -100.00%
iter 37: loss 10.7680, time 2072.75ms, mfu -100.00%
iter 38: loss 10.7454, time 2071.68ms, mfu -100.00%
iter 39: loss 10.7458, time 2073.95ms, mfu -100.00%
iter 40: loss 10.7420, time 2071.32ms, mfu -100.00%
iter 41: loss 10.7240, time 2072.38ms, mfu -100.00%
iter 42: loss 10.7271, time 2071.40ms, mfu -100.00%
iter 43: loss 10.7168, time 2073.05ms, mfu -100.00%
iter 44: loss 10.7351, time 2072.09ms, mfu -100.00%
iter 45: loss 10.7129, time 2073.28ms, mfu -100.00%
iter 46: loss 10.7140, time 2073.01ms, mfu -100.00%
iter 47: loss 10.6896, time 2071.67ms, mfu -100.00%
iter 48: loss 10.6827, time 2073.26ms, mfu -100.00%
iter 49: loss 10.6879, time 2074.10ms, mfu -100.00%
iter 50: loss 10.6559, time 2072.24ms, mfu -100.00%
iter 51: loss 10.6666, time 2076.26ms, mfu -100.00%
iter 52: loss 10.6635, time 2069.48ms, mfu -100.00%
iter 53: loss 10.6574, time 2074.60ms, mfu -100.00%
iter 54: loss 10.6615, time 2072.24ms, mfu -100.00%
iter 55: loss 10.6403, time 2071.49ms, mfu -100.00%
iter 56: loss 10.6223, time 2074.21ms, mfu -100.00%
iter 57: loss 10.6222, time 2073.76ms, mfu -100.00%
iter 58: loss 10.5776, time 2071.74ms, mfu -100.00%
iter 59: loss 10.5526, time 2075.32ms, mfu -100.00%
iter 60: loss 10.5312, time 2071.83ms, mfu -100.00%
